page	key	type	llm_status	yomitoku_chars	yomitoku_ja	yomitoku_latin	yomitoku_lines	yomitoku_expected_hits	surya_chars	surya_ja	surya_latin	surya_lines	surya_expected_hits	yomitoku_llm_chars	yomitoku_llm_ja	yomitoku_llm_latin	yomitoku_llm_lines	yomitoku_llm_expected_hits	llm_preview	surya_preview	yomitoku_preview
001	pdf001__cropped_nethack_uncropped_cover	cover	failed	125	58	9	5		205	82	41	11	NetHack	0	0	0	0			"3.5""2HD5'2HD PC-9801用フリーソフトライブラリ ゲームコレクションHKスペシャル NetHack PC-9801用 3.5""2HD5'2HD フリーソフトライブラリゲームコレクションエクストラNetHack theRPG 監修蓮川龍司郎 秀和システムトレーディング株式会社 定価2,800円(本体2,718円) ISBN4-87966-322-0 C3055 P2800E"	PC\-9801用フリーソフト # オームコレクションエクストラストライトランス 秀和システム 秀和システムトレーディング株式会社 定価2,800円\(本体2,718円\) ISBN4\-87966\-322\-0 C3055 P2800E
002	pdf002__cropped_nethack_uncropped_openpages_1_2_3-1_left	front-matter	ok	226	203	0	4		225	206	0	2		230	203	9	1		1/15BARBARLAN■ 注 意·本書の内容の一部または全部を、出版元より書面による承諾なくして複製することは、方何を問わず禁じられています。·本書および添付ディスクの内容を利用した結果およびその影響について、著者および出版任を負いかねますのでご了承ください。·本書で取り上げ付録ディスクに収録したソフトウェアは原則として無償で使用し配布するできるフリーソフトで、それぞれの作者が著作権を有しています。詳細は各ソフトウェアれるドキュメントをご参照ください。	■ 注 意 • 本書の内容の一部または全部を、出版元より書面による承諾なくして複製することは、方針を問わず禁じられています。• 本書および添付ディスクの内容を利用した結果およびその影響について、著者および出版元の任を負いかねますのでご了承ください。• 本書で取り上げ付録ディスクに収録したソフトウェアは原則として無償で使用し配布するできるフリーソフトで、それぞれの作者が著作権を有しています。詳細は各ソフトウェアによるドキュメントをご参照ください。	# ■ 注 意 ·本書の内容の一部または全部を、出版元より書面による承諾なくして複製することは、方何を問わず禁じられています。 ·本書および添付ディスクの内容を利用した結果およびその影響について、著者および出版任を負いかねますのでご了承ください。 ·本書で取り上げ付録ディスクに収録したソフトウェアは原則として無償で使用し配布するできるフリーソフトで、それぞれの作者が著作権を有しています。詳細は各ソフトウェアれるドキュメントをご参照ください。
005	pdf005__cropped_nethack_uncropped_tocpage-1	toc	ok	215	76	71	16		259	54	123	7	NetHack	217	68	112	1	NetHack	NetHack the RPGwith FMP & MAG loader-VTable of Contents· Requirements必要なもの10Installインストール11・Start Up!起動方法16英語More Info.参考として18福永弘飛路家公家安CHARACTERS キャラクター 23御家族・Parameter能力値23・Class職業26· Be Invokedネットハック始動39小池栄美子館全品飲飲飲食	NetHack the RPG—with FMP & MAG loader— Table of Contents DISK 添付ディスクの使用方法 10 • Requirements 必要なもの 10• Install インストール 11• Start Up! 起動方法 16• More Info. 参考として 18 CHARACTERS キャラクター 23 • Parameter 能力値 23• Class 職業 26• Be Invoked ネットハック始動 39 COM	DISK 添付ディスクの使用方法 10 栄 英語 · Requirements必要なもの10 Installインストール11 ・Start Up\!起動方法16 More Info.参考として18 # 福永弘飛路家公家安 # CHARACTERS キャラクター 23 御家族 村沢 # 小池栄美子館 ・Parameter能力値23 ・Class職業26 · Be Invokedネットハック始動39
011	pdf011__cropped_nethack_uncropped_both_sides_ordered-005	license-prose	ok	913	755	59	9	ネットハック・ジェネラルパブリックライセンス	908	755	59	11	ネットハック・ジェネラルパブリックライセンス	886	755	59	1	ネットハック・ジェネラルパブリックライセンス	ネットハック・ジェネラルパブリックライセンス(抄訳)(Copyright 1989, 1990 M. Stephenson)(バイソンジェネラルパブリックライセンスを基礎に:Copyright 1988 Richard M Stallman)誰でもこのライセンスをコピーして配布することができる。ただしこれを変更することは許されない。また、このライセンス中の表現は他のプログラムの条件を作るために使用できる。ほとんどのソフトウェア会社のライセンス協定はその会社が一方的に決めている	ネットハック・ジェネラルパブリックライセンス (抄訳) (Copyright 1989, 1990 M. Stephenson) (バイソンジェネラルパブリックライセンスを基礎に: Copyright 1988 Richard M Stallman) 誰でもこのライセンスをコピーして配布することができる。ただしこれを変更することは許されない。また、このライセンス中の表現は他のプログラムの条件を作るために使用できる。 ほとんどのソフトウェア会社のライセンス協定はその会社が一方的	# ネットハック・ジェネラルパブリックライセンス\(抄訳\)\(Copyright 1989, 1990 M. Stephenson\) \(バイソンジェネラルパブリックライセンスを基礎に:Copyright 1988 Richard M Stallman\) 誰でもこのライセンスをコピーして配布することができる。ただしこれを変更することは許されない。また、このライセンス中の表現は他のプログラムの条件を作るために使用できる。 ほとんどのソフトウェア会社のライセンス協定はその会
016	pdf016__cropped_nethack_uncropped_both_sides_ordered-010	instructions	ok	351	260	23	7		340	259	23	8		367	287	31	1		するとフロッピーディスクがフォーマットされるから、処理が終了したらディスクを抜いて、「起動用ディスク」と書いたラベルを貼っておこう。さて、もう1枚のディスクをフロッピードライブに入れて .......A>・という状態から、FORMAT B: /Mと入力し、2)キーを押す。すると、また同じようにディスクがフォーマットされるので、処理が終了したらディスクを抜いて「データ用ディスク」と書いたラベルを貼るとよい。続いて、RAM ドライブにいったん添付ディスクの内容をコピーする。フロッ	するとフロッピーディスクがフォーマットされるから、処理が終了したらディスクを抜いて、「起動用ディスク」と書いたラベルを貼っておこう。さて、もう1枚のディスクをフロッピードライブに入れて…… A > ……という状態から、 FORMAT B: /M と入力し、④キーを押す。すると、また同じようにディスクがフォーマットされるので、処理が終了したらディスクを抜いて「データ用ディスク」と書いたラベルを貼るとよい。 続いて、RAM ドライブにいったん添付ディスクの内容をコピーする。フロッ	するとフロッピーディスクがフォーマットされるから、処理が終了したらディスクを抜いて、「起動用ディスク」と書いたラベルを貼っておこう。さて、もう1枚のディスクをフロッピードライブに入れて ....... # A> # ・という状態から、 # FORMAT B: /M と入力し、2\)キーを押す。すると、また同じようにディスクがフォーマットされるので、処理が終了したらディスクを抜いて「データ用ディスク」と書いたラベルを貼るとよい。 続いて、RAM ドライブにいったん添付ディスクの
050	pdf050__cropped_nethack_uncropped_both_sides_ordered-044	command-prose	ok	680	571	13	18	ピックアップ	680	569	13	18	ピックアップ	642	569	13	1	ピックアップ	床に落ちているアイテムを拾うには、コマンドだ。;の時と同じように目標となるアイテムの上に立ち、キーを押すのである。アイテムがひとつしか落ちていない場合には、そのアイテムが拾いあげられる。複数ある時には、もしくはnキーを押すことによって、拾うアイテムを選択することができる。ピックアップはゲームを進めていくうえで、必須の作業である。貴重なアイテムがなにげなく落ちていることは多い。欲しいと思ったアイテムはどんどん拾って、どんどん使ってみよう。1.Read 読む迷宮の冷たい床の上に、	床に落ちているアイテムを拾うには、コマンドだ。；の時と同じように目標となるアイテムの上に立ち、①キーを押すのである。アイテムがひとつしか落ちていない場合には、そのアイテムが拾いあげられる。複数ある時には、②もしくは③キーを押すことによって、拾うアイテムを選択することができる。 ピックアップはゲームを進めていくうえで、必須の作業である。貴重なアイテムがなにげなく落ちていることは多い。欲しいと思ったアイテムはどんどん拾って、どんどん使ってみよう。 r Read 読む 迷宮の冷たい	床に落ちているアイテムを拾うには、コマンドだ。;の時と同じように目標となるアイテムの上に立ち、キーを押すのである。アイテムがひとつしか落ちていない場合には、そのアイテムが拾いあげられる。複数ある時には、もしくはnキーを押すことによって、拾うアイテムを選択することができる。 ピックアップはゲームを進めていくうえで、必須の作業である。貴重なアイテムがなにげなく落ちていることは多い。欲しいと思ったアイテムはどんどん拾って、どんどん使ってみよう。 1. 迷宮の冷たい床の上に、ティケは
100	pdf100__cropped_nethack_uncropped_both_sides_ordered-094	prose	ok	897	778	8	15		894	783	8	15		858	777	8	1		ンスターを巻き添えにしながら部屋の隅に消えてゆく、電撃も、炎も、いかなる魔法もいまのティケには意味をなさなかった。魔窟をさまよう間に身についた資質が、あるいは武具が、光条や魔法による間接攻撃を無効にする。そして最強の鎖、グレイドラゴンの鱗によってつくられたスケイルメイルは、ほとんどすべての攻撃からティケを守った。ドラゴンは数回の斬撃に耐えたものの、ついに倒れた。そして他のモンスターたちが同じ運命をたどるのに、それほどの時間はかからなかった 。「よいしょっと 。 これで最後かな	ンスターを巻き添えにしながら部屋の隅に消えてゆく。 電撃も、炎も、いかなる魔法もいまのティケには意味をなさなかった。魔窟をさまよう間に身についた資質が、あるいは武具が、光条や魔法による間接攻撃を無効にする。そして最強の鎧、グレイドラゴンの鱗によってつくられたスケイルメイルは、ほとんどすべての攻撃からティケを守った。 ドラゴンは数回の斬撃に耐えたものの、ついに倒れた。そして他のモンスターたちが同じ運命をたどるのに、それほどの時間はかからなかった……。 「よいしょっと……。これで	ンスターを巻き添えにしながら部屋の隅に消えてゆく、 電撃も、炎も、いかなる魔法もいまのティケには意味をなさなかった。魔窟をさまよう間に身についた資質が、あるいは武具が、光条や魔法による間接攻撃を無効にする。そして最強の鎖、グレイドラゴンの鱗によってつくられたスケイルメイルは、ほとんどすべての攻撃からティケを守った。 ドラゴンは数回の斬撃に耐えたものの、ついに倒れた。そして他のモンスターたちが同じ運命をたどるのに、それほどの時間はかからなかった 。 # 「よいしょっと 。 これ
150	pdf150__cropped_nethack_uncropped_both_sides_ordered-144	item-list	ok	1015	734	131	23		997	734	131	26		933	726	129	1		orcish chain mailオーキッシュ チェインメイル AC-5オークの戦士らが好んで使うチェインメイルである。戦士が使うだけあって、手入れもそれなりにされており、通常のチェインメイルと比べても、なんら見劣りするようなこともないだろう。elven mithril-coatエルブン ミスリルコート AC-5エルフ造りのチェインメイル。ミスリル銀という魔法の金属からつくられているため、革鎧程度の重量しかない。しかしながら、防御力はチェインメイルと同等であり、さらには酸や錆	orcish chain mail オーキッシュ チェインメイル AC-5 オークの戦士らが好んで使うチェインメイルである。戦士が使うだけあって、手入れもそれなりにされており、通常のチェインメイルと比べても、なんら見劣りするようなこともないだろう。 elven mithril-coat エルブン ミスリルコート AC-5 エルブ造りのチェインメイル。ミスリル銀という魔法の金属からつくられているため、革鎧程度の重量しかない。しかしながら、防御力はチェインメイルと同等であり、さら	# orcish chain mail # オーキッシュ チェインメイル AC\-5 オークの戦士らが好んで使うチェインメイルである。戦士が使うだけあって、手入れもそれなりにされており、通常のチェインメイルと比べても、なんら見劣りするようなこともないだろう。 # elven mithril\-coat エルブン ミスリルコート AC\-5 エルフ造りのチェインメイル。ミスリル銀という魔法の金属からつくられているため、革鎧程度の重量しかない。しかしながら、防御力はチェインメイル
160	pdf160__cropped_nethack_uncropped_both_sides_ordered-154	item-list	ok	587	454	42	17	hawaiian shirt	566	452	42	14	hawaiian shirt	540	453	42	1	hawaiian shirt	OTHERS その他の防具鎧の下に着けられるハワイアンシャツだけだね、今のところ。これが役に立たないようで役に立つんだけどね。ただ、ボク以外の店主には見せちゃいけないよ。hawaiian shirtハワイアンシャツ AC-0ハワイアンシャツ、アロハである(それ以外になにか思いつきますか?)。唯一、鎧の下につけることのできる防具。魔法で強化すれば、かなり役立つはずである。しかし、ハワイアンシャツを目立つところに着ていると店主らにボラれるという弱点がある。Foods 食料おや、い	OTHERS その他の防具 鎧の下に着けられるハワイアンシャツだけだね、今のところ。これが役に立たないようで役に立つんだけどね。ただ、ボク以外の店主には見せちゃいけないよ。 hawaiian shirt ハワイアンシャツ AC-0 ハワイアンシャツ、アロハである（それ以外になにか思いつきますか？）。唯一、鎧の下につけることのできる防具。魔法で強化すれば、かなり役立つはずである。しかし、ハワイアンシャツを目立つところに着ていると店主らにボラれるという弱点がある。 Foods 食	# OTHERS その他の防具 鎧の下に着けられるハワイアンシャツだけだね、今のところ。これが役に立たないようで役に立つんだけどね。ただ、ボク以外の店主には見せちゃいけないよ。 # hawaiian shirt ハワイアンシャツ AC\-0 ハワイアンシャツ、アロハである\(それ以外になにか思いつきますか?\)。唯一、鎧の下につけることのできる防具。魔法で強化すれば、かなり役立つはずである。しかし、ハワイアンシャツを目立つところに着ていると店主らにボラれるという弱点がある。 
200	pdf200__cropped_nethack_uncropped_both_sides_ordered-194	item-list	ok	688	480	93	29	orcish arrow	663	472	93	28	orcish arrow	616	480	93	1	orcish arrow	orcish arrowオーキッシュ アロウオークたちの工匠の手による黒い矢。他の矢と比較すると、かなり質が悪いといわざるをえない。elven arrowエルブン アロウエルフの匠によってつくられた矢。こちらにもルーンが刻まれている。crossbowクロスボウ努。木製の台尻と弓を直角に組み合わせたもので、弓とは異なって射撃をするようにして射るのが特徴である。威力は弓のそれを大きく上回るが、速射が不可能なのが弱点である。crossbow boltクロスボウ ボルトクロスボウ用の	orcish arrow オーキッシュ アロウ オークたちの工匠の手による黒い矢。他の矢と比較すると、かなり質が悪いといわざるをえない。 elven arrow エルブン アロウ エルフの匠によってつくられた矢。こちらにもルーンが刻まれている。 crossbow クロスボウ 弩。木製の台尻と弓を直角に組み合わせたもので、弓とは異なって射撃をするようにして射るのが特徴である。威力は弓のそれを大きく上回るが、速射が不可能なのが弱点である。 crossbow bolt クロスボウ 	オーキッシュ アロウ # orcish arrow オークたちの工匠の手による黒い矢。他の矢と比較すると、かなり質が悪いといわざるをえない。 # elven arrow エルブン アロウ エルフの匠によってつくられた矢。こちらにもルーンが刻まれている。 # crossbow クロスボウ 努。木製の台尻と弓を直角に組み合わせたもので、弓とは異なって射撃をするようにして射るのが特徴である。威力は弓のそれを大きく上回るが、速射が不可能なのが弱点である。 # crossbow bol
